Filename,Start,Text,Definitional?,Notes
AlexWissnerGross_2013X-480p.eng.srt,0:05:51.000447,"more disorder, or ""entropy,"" over their lifetimes",1,
CarinBondar_2013G-480p.eng.srt,0:03:02.000293,"by the gametes, or the sperm and the eggs.",1,
EdYong_2014-480p.eng.srt,0:09:33.000949,"This is Toxoplasma gondii, or Toxo, for short,",1,
GregAsner_2013G-480p.eng.srt,0:02:22.000990,"the Carnegie Airborne Observatory, or CAO.",1,
LeylaAcaroglu_2013-480p.eng.srt,0:14:10.000546,"and e-waste is reported, or electronic waste is reported, by the UN",0,correction
ManuPrakash_2012G-480p.eng.srt,0:01:20.000228,"or a fluorescent stain or Giemsa,",0,
NicolasPerony_2013X-480p.eng.srt,0:04:25.000707,"Mostly they roost, or sleep, together.",0,
PaulaJohnson_2013W-480p.eng.srt,0:05:55.000554,There's a discrete blockage or stenosis.,0,
RupalPatel_2013W-480p.eng.srt,0:03:52.000579,"We call this project VocaliD, or vocal I.D.,",1,
RyanHolladay_2013S-480p.eng.srt,0:03:22.000815,So this is not a playlist or a list of songs,0,
SiddharthanChandran_2013G-480p.eng.srt,0:08:05.000917,"they can self-renew or make more of themselves,",1,
SiddharthanChandran_2013G-480p.eng.srt,0:14:48.000821,"the endogenous stem cells, or precursor cells,",1,
AjitNarayanan_2013-480p.eng.srt,0:01:36.000660,and then the therapist or the parent would,0,
AjitNarayanan_2013-480p.eng.srt,0:06:45.000537,And there are two or three interesting things about this.,0,
AjitNarayanan_2013-480p.eng.srt,0:09:06.000655,"through your native language, or through your first language.",0,
AjitNarayanan_2013-480p.eng.srt,0:13:09.000851,"say, for a newspaper or for a magazine.",0,
AlexWissnerGross_2013X-480p.eng.srt,0:01:36.000286,"or Earth neuroscience or Earth intelligence,",0,
AlexWissnerGross_2013X-480p.eng.srt,0:03:44.000559,"that in the past 10 years or so,",0,
AmandaBurden_2014-480p.eng.srt,0:03:44.000338,"They might tolerate a sculpture or two,",0,
AmandaBurden_2014-480p.eng.srt,0:09:20.000123,whether or not you understand their neighborhoods.,0,
AmandaBurden_2014-480p.eng.srt,0:12:58.000451,your lunch or your laptop.,0,
AmandaBurden_2014-480p.eng.srt,0:17:25.000073,abandoned or ignored.,0,
AnantAgarwal_2013G-480p.eng.srt,0:01:16.000030,"And this was a classroom about 50 or 60 years ago,",0,
AnantAgarwal_2013G-480p.eng.srt,0:13:58.000736,"They can use as much or as little as they like,",0,
AndreasRaptopoulos_2013G-480p.eng.srt,0:02:31.000682,or pick up or deliver loads.,0,
AndrewSolomon_2013X-480p.eng.srt,0:03:43.000126,and you slip or trip,0,
AndrewSolomon_2013X-480p.eng.srt,0:05:46.000590,"And does it need a chemical cure or a philosophical cure?""",0,
AndrewSolomon_2013X-480p.eng.srt,0:09:39.000126,"more or less catatonic, essentially without moving,",0,
AndrewSolomon_2013X-480p.eng.srt,0:16:15.000394,They didn't include drumming or music to get people's blood going.,0,
AndrewSolomon_2013X-480p.eng.srt,0:26:55.000401,'That's not very friendly or helpful of them.',0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:01:13.000818,"in Washington, or maybe uprooting my sons",0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:04:54.000395,to care for their children or their family members,0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:11:05.000079,"like my own, the U.S., or Switzerland,",0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:12:24.000229,"a caregiver, or any combination of the two.",0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:13:27.000455,either caregivers or breadwinners.,0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:14:04.000269,They can walk a baby or soothe a toddler,0,
AnneMarieSlaughter_2013G-480p.eng.srt,0:14:21.000431,50 or even 30 years ago.,0,
AnneMilgram_2013S-480p.eng.srt,0:02:35.000247,and we didn't share data or use analytics,0,
AnneMilgram_2013S-480p.eng.srt,0:10:01.000593,"First, whether or not someone will commit",0,
AnnetteHeuser_2013G-480p.eng.srt,0:01:17.000314,"before deciding which kind of tablet or phone to get,",0,
AnnetteHeuser_2013G-480p.eng.srt,0:04:04.000412,"like countries or companies,",0,
AparnaRao_2013U-480p.eng.srt,0:01:35.000273,"until they sort of sense a presence in the room or a movement,",0,
AparnaRao_2013U-480p.eng.srt,0:02:11.000260,"A4, or a letter-sized piece of paper,",0,
AparnaRao_2013U-480p.eng.srt,0:05:15.000439,"how they want to be influenced by those around them or influence others,",0,
AparnaRao_2013U-480p.eng.srt,0:05:27.000307,"It could be a few claps or a strong applause,",0,
AparnaRao_2013U-480p.eng.srt,0:05:58.000797,"nuanced musical or sound patterns,",0,
AparnaRao_2013U-480p.eng.srt,0:06:53.000674,to construct our own frame or grid,0,
AshBeckham_2013X-480p.eng.srt,0:01:20.000230,"""Um, are you a boy or are you a girl?""",0,
AshBeckham_2013X-480p.eng.srt,0:02:00.000843,"""Are you a boy or are you a girl?""",0,
AshBeckham_2013X-480p.eng.srt,0:02:33.000232,"""Are you a boy or are you a girl?""",0,
AshBeckham_2013X-480p.eng.srt,0:03:37.000815,or yours or yours.,0,
AshBeckham_2013X-480p.eng.srt,0:04:07.000633,to make us feel better or worse about our closets,0,
BillGates_2014-480p.eng.srt,0:05:23.000952,"I'm either suggesting he has AIDS or I have AIDS,",0,
BillGates_2014-480p.eng.srt,0:10:33.000610,whether it's about women or girls,0,
BillGates_2014-480p.eng.srt,0:10:46.000178,"or the data or what he's learned,",0,
BillGates_2014-480p.eng.srt,0:12:54.000499,about one thing or another?,0,
BillGates_2014-480p.eng.srt,0:13:56.000662,We do a lot of drug work or vaccine work,0,
